ID,Dependancy,Quest,Territory,Type,Quest Acquisition Description,Level,DLC,Missable,Notes
1,163.0,A Mysterious Passenger,Skellige,Main,After Nameless,0,Base Game,Y,Only triggers if you complete the Skellige main quests before the Velen main quests
2,,Gwent: Velen Players,Velen,Secondary,Notice Board: Crow's Perch,0,Base Game,Y,Do this before finishing Family Matters
12,,Faithful Friend,White Orchard,Secondary,Outside White Orchard tavern,0,Base Game,N,"Available at end of game, during ""Something Ends, Something Begins"""
18,,Gwent: Playing Thaler,Novigrad,Secondary,"Seven Cats Inn, Thaler",0,Base Game,N,"After finding Thaler during A Deadly Plot, talk to him again immediately to play him there. If not, he will go to Seven Cats Inn"
28,,Precious Cargo,White Orchard,Secondary,"Southwestern road leading to the Nilfgaardian Garrison. Just south of the swamp, at a campsite.",0,Base Game,N,Keep the medicine = 50 crowns. Other choices = no money
37,,Worthy of Trust,Skellige,Secondary,Merchants' camp between Kaer Trolde Harbor and Crossroads,0,Base Game,N,Requires that you prior gave the Novigrad merchant a loan to get home. Find him initially by Kaer Trolde docks.
51,,Funeral Pyres,Velen,Secondary,"Priest of Eternal Fire, along the road leading west from Mulbrydale",3,Base Game,N,"""I don't take bribes"" = 200 crowns. ""Agreed"" = 60 crowns."
72,,Ghosts of the Past,Velen,Secondary,During The Fall of The House Reardon,6,Base Game,Y,"Missable, depending on your choices in Witcher 2"
73,,Magic Lamp,Velen,Secondary,During Wandering in the Dark,6,Base Game,Y,Tell Keira you'll help her at end of Wandering in the Dark
97,,Bitter Harvest,Velen,Secondary,"West of bridge across Pontar. Given if you continue objective from ""Fake Papers,"" and ask what the brother needs.",9,Base Game,N,Protect the scavengers. Fight aggressively to keep ghouls off the NPCs
119,,Fists of Fury: Champion Of Champions,Skellige,Secondary,Hov on Spikeroog,11,Base Game,N,"Only after completing rest of Fists of Fury - in Velen, Novigrad, Skellige. And complete Master of the Arena on Skellige."
121,,Scavenger Hunt: Griffin School Gear,Velen,Treasure Hunt,Purchase and read any of the following four maps from Edwin Greloff,11,Base Game,N,Basic. Gear requires level 11.
125,,A Matter of Life and Death,Novigrad,Secondary,During Count Reuven's Treasure,12,Base Game,Y,Required to romance Triss
