ID,Dependancy,Quest,Territory,Type,Quest Acquisition Description,Level,DLC,Missable,Notes
1,163,A Mysterious Passenger,Skellige,Main,After Nameless,0,Base Game,Y,Only triggers if you complete the Skellige main quests before the Velen main quests
2,,Gwent: Velen Players,Velen,Secondary,Notice Board: Crow's Perch,0,Base Game,Y,Do this before finishing Family Matters
3,,It Takes Three to Tango,Novigrad,Secondary,Only if you romance both Triss and Yennefer. Cameleon in Novigrad.,0,Base Game,Y,
4,,Missing in Action,White Orchard,Secondary,Notice Board: Woesong,0,Base Game,Y,
5,,"A Frying Pan, Spick and Span",White Orchard,Secondary,"Northwesternmost home in Woesong village, along the river. Has a small pier. Talk to Old Woman",0,Base Game,N,
6,,A Warm Welcome,Novigrad,Secondary,"Fast travel to Wheat Fields, then go west on the road until you reach the first intersection. Quest will start automatically.",0,Base Game,N,
7,239,Blood on the Battlefield,Kaer Morhen,Main,Main Quest 45: After The Battle of Kaer Morhen,0,Base Game,N,
8,,Brave Fools Die Young,Skellige,Secondary,Tall monument along road between Fayrlund and Fyresdal,0,Base Game,N,
9,,Collect 'Em All,Multiple,Secondary,"Given after speaking with the Oxenfurt Scholar in Woesong tavern, White Orchard",0,Base Game,N,
10,209,Disturbance,Kaer Morhen,Main,Main Quest 35: During Ugly Baby,0,Base Game,N,
11,,Empty Coop,Novigrad,Secondary,East of Honeyfill Meadworks,0,Base Game,N,
12,,Faithful Friend,White Orchard,Secondary,Outside White Orchard tavern,0,Base Game,N,"Available at end of game, during ""Something Ends, Something Begins"""
13,,Fake Papers,Velen,Secondary,"""Shady Merchant"" on the Velen side of the Pontar bridge",0,Base Game,N,
14,245,Final Preparations,Novigrad,Main,Main Quest 47: After Bald Mountain,0,Base Game,N,
15,,Gwent: Big City Players,Novigrad,Secondary,"Vivaldi Bank, Vivaldi. Notice board next to Golden Sturgeon at Harborside",0,Base Game,N,
16,,Gwent: Old Pals,Multiple,Secondary,Challenge Zoltan at The Rosemary and Thyme,0,Base Game,N,
17,,Gwent: Playing Innkeeps,Novigrad,Secondary,Stjepan in Oxenfurt,0,Base Game,N,
