ID,Deck,Name,Territory,Strength,Combat,Abilities,Type,Acquisition,Source,DLC
1,Monsters,Arachas 1/3,Skellige,4,Melee,Muster,Unit,Buy,Arinbjorn,
2,Monsters,Arachas 2/3,Skellige,4,Melee,Muster,Unit,Buy,Urialla Harbor Inn,
3,Monsters,Arachas 3/3,Skellige,4,Melee,Muster,Unit,Buy,Svorlag,
4,Monsters,Arachas Behemoth,-,6,Siege,Muster,Unit,Win,Random,
5,Monsters,Botchling,Skellige,4,Melee,-,Unit,Buy,"New Port Inn, Kaer Trolde",
6,Monsters,Celaeno Harpy,-,2,Ranged,-,Unit,Win,Random,
7,Monsters,Cockatrice,-,2,Ranged,-,Unit,Win,Random,
8,Monsters,Crone Brewess,-,6,Melee,Muster,Unit,Win,Random,
9,Monsters,Crone Weavess,Velen,6,Melee,Muster,Unit,Gwent Quest,"Seer, Benek",
10,Monsters,Crone Whispess,Skellige,6,Melee,Muster,Unit,Buy,Arinbjorn,
11,Monsters,Draug,Skellige,10,Melee,Immune to Special,Hero,Gwent Quest,"Crach an Craite, Kaer Trolde",
12,Monsters,Earth Elemental,Skellige,6,Siege,-,Unit,Buy,"New Port Inn, Kaer Trolde",
13,Monsters,Endrega,-,2,Ranged,-,Unit,Win,Random,
14,Monsters,"Eredin, Bringer of Death",Velen,-,Leader,Medic,Leader,Gwent Quest,"Secondary Quest, High Stakes",
15,Monsters,"Eredin, Commander of the Red Riders",Base Deck,-,Leader,Any Weather,Leader,Base Deck,Base Deck,
16,Monsters,"Eredin, Destroyer of Worlds",Novigrad,-,Leader,"Discard 2, Draw 1",Leader,Secondary Quest,Gwent: Velen Players,
17,Monsters,"Eredin, King of the Wild Hunt",Skellige,-,Leader,Horn Close Combat,Leader,Buy,"New Port Inn, Kaer Trolde",
18,Monsters,Fiend,Skellige,6,Melee,-,Unit,Buy,Arinbjorn,
19,Monsters,Fire Elemental,-,6,Siege,-,Unit,Win,Random,
20,Monsters,Foglet,Skellige,2,Melee,-,Unit,Buy,Svorlag Inn,
21,Monsters,Forktail,-,5,Melee,-,Unit,Win,Random,
22,Monsters,Frightener,-,5,Melee,-,Unit,Win,Random,
23,Monsters,Gargoyle,-,2,Ranged,-,Unit,Win,Random,
24,Monsters,Ghoul 1/3,-,1,Melee,Muster,Unit,Win,Random,
25,Monsters,Ghoul 2/3,-,1,Melee,Muster,Unit,Win,Random,
26,Monsters,Ghoul 3/3,Skellige,1,Melee,Muster,Unit,Buy,"Harviken Tavern, Faroe",
27,Monsters,Grave Hag,-,5,Ranged,-,Unit,Win,Random,
28,Monsters,Griffin,-,5,Melee,-,Unit,Win,Random,
29,Monsters,Harpy,Skellige,2,Mel./Ran.,Agile,Unit,Buy,"Harviken Tavern, Faroe",
